# Signal monitoring started at Sat Jul 26 01:57:59 2025
# timestamp,bias_mean,z_mean,state
1753487882.062,2.000000,-1.62e-09,good
1753487882.318,2.000000,-1.62e-09,good
1753487882.573,2.000000,-1.62e-09,good
1753487882.831,2.000000,-1.62e-09,good
1753487883.086,2.000000,-1.62e-09,good
1753487883.341,2.000000,-1.62e-09,good
1753487883.597,2.000000,-1.62e-09,good
1753487883.853,2.000000,-1.62e-09,good
1753487884.110,2.000000,-1.62e-09,good
1753487884.366,2.000000,-1.62e-09,good
1753487884.623,2.000000,-1.62e-09,good
1753487884.878,2.000000,-1.62e-09,good
1753487885.134,2.000000,-1.62e-09,good
1753487885.389,2.000000,-1.62e-09,good
1753487885.647,2.000000,-1.62e-09,good
1753487885.911,2.000000,-1.62e-09,good
1753487886.158,2.000000,-1.62e-09,good
1753487886.414,2.000000,-1.62e-09,good
1753487886.670,2.000000,-1.62e-09,good
1753487886.926,2.000000,-1.62e-09,good
1753487887.182,2.000000,-1.62e-09,good
1753487887.438,2.000000,-1.62e-09,good
1753487887.693,2.000000,-1.62e-09,good
1753487887.947,2.000000,-1.62e-09,good
1753487888.203,2.000000,-1.62e-09,good
1753487888.459,2.000000,-1.62e-09,good
1753487888.717,2.000000,-1.62e-09,good
1753487888.970,2.000000,-1.62e-09,good
1753487889.225,2.000000,-1.62e-09,good
1753487889.483,2.000000,-1.62e-09,good
1753487889.747,2.000000,-1.62e-09,good
1753487889.994,2.000000,-1.62e-09,good
1753487890.251,2.000000,-1.62e-09,good
1753487890.506,2.000000,-1.62e-09,good
1753487890.764,2.000000,-1.62e-09,good
1753487891.018,2.000000,-1.62e-09,good
1753487891.273,2.000000,-1.62e-09,good
1753487891.528,2.000000,-1.62e-09,good
1753487891.785,2.000000,-1.62e-09,good
1753487892.042,2.000000,-1.62e-09,good
# Signal monitoring started at Sat Jul 26 02:06:59 2025
# timestamp,bias_mean,z_mean,state
# Signal monitoring started at Sat Jul 26 02:11:57 2025
# timestamp,bias_mean,z_mean,state
1753488719.854,2.000000,-1.62e-09,good
1753488720.054,2.000000,-1.62e-09,good
1753488720.255,2.000000,-1.62e-09,good
1753488720.456,2.000000,-1.62e-09,good
1753488720.657,2.000000,-1.62e-09,good
1753488720.857,2.000000,-1.62e-09,good
1753488721.058,2.000000,-1.62e-09,good
1753488721.259,2.000000,-1.62e-09,good
1753488721.460,2.000000,-1.62e-09,good
1753488721.660,2.000000,-1.62e-09,good
1753488721.861,2.000000,-1.62e-09,good
# Signal monitoring started at Sat Jul 26 02:15:10 2025
# timestamp,bias_mean,z_mean,state
1753488912.736,2.000000,-1.62e-09,good
1753488912.936,2.000000,-1.62e-09,good
1753488913.137,2.000000,-1.62e-09,good
1753488913.337,2.000000,-1.62e-09,good
1753488913.538,2.000000,-1.62e-09,good
1753488913.739,2.000000,-1.62e-09,good
1753488913.939,2.000000,-1.62e-09,good
1753488914.140,2.000000,-1.62e-09,good
1753488914.341,2.000000,-1.62e-09,good
1753488914.541,2.000000,-1.62e-09,good
1753488914.742,2.000000,-1.62e-09,good
# Signal monitoring started at Sat Jul 26 02:17:27 2025
# timestamp,bias_mean,z_mean,state
1753489049.207,5.504587,-1.26e-09,bad
1753489049.407,5.504587,-1.26e-09,bad
1753489049.608,5.504587,-1.26e-09,bad
1753489049.809,5.504587,-1.26e-09,bad
1753489050.010,5.504587,-1.26e-09,bad
1753489050.210,5.504587,-1.26e-09,bad
1753489050.411,5.504587,-1.26e-09,bad
1753489050.612,5.504587,-1.26e-09,bad
1753489050.813,5.504587,-1.26e-09,bad
1753489051.014,5.504587,-1.26e-09,bad
1753489051.315,5.504587,-1.26e-09,bad
1753489051.516,5.504587,-1.26e-09,bad
1753489051.716,5.504587,-1.26e-09,bad
1753489051.917,5.504587,-1.26e-09,bad
1753489052.118,5.504587,-1.26e-09,bad
1753489052.419,5.504587,-1.26e-09,bad
1753489052.620,5.504587,-1.26e-09,bad
1753489052.821,5.504587,-1.26e-09,bad
1753489053.022,5.504587,-1.26e-09,bad
1753489053.323,5.504587,-1.26e-09,bad
1753489053.524,5.504587,-1.26e-09,bad
1753489053.725,5.504587,-1.26e-09,bad
1753489053.925,5.504587,-1.26e-09,bad
1753489054.126,5.504587,-1.26e-09,bad
1753489054.428,5.504587,-1.26e-09,bad
1753489054.628,5.504587,-1.26e-09,bad
1753489054.829,5.504587,-1.26e-09,bad
1753489055.030,5.504587,-1.26e-09,bad
1753489055.331,5.504587,-1.26e-09,bad
1753489055.532,5.504587,-1.26e-09,bad
1753489055.733,5.504587,-1.26e-09,bad
1753489055.933,5.504587,-1.26e-09,bad
1753489056.134,5.504587,-1.26e-09,bad
1753489056.435,5.504587,-1.26e-09,bad
1753489056.636,5.504587,-1.26e-09,bad
1753489056.837,5.504587,-1.26e-09,bad
1753489057.038,5.504587,-1.26e-09,bad
1753489057.339,5.504587,-1.26e-09,bad
1753489057.540,5.504587,-1.26e-09,bad
1753489057.741,5.504587,-1.26e-09,bad
1753489057.941,5.504587,-1.26e-09,bad
1753489058.142,5.504587,-1.26e-09,bad
1753489058.442,5.504587,-1.26e-09,bad
1753489058.643,5.504587,-1.26e-09,bad
1753489058.843,5.504587,-1.26e-09,bad
1753489059.044,5.504587,-1.26e-09,bad
1753489059.345,5.504587,-1.26e-09,bad
1753489059.545,5.504587,-1.26e-09,bad
1753489059.746,5.504587,-1.26e-09,bad
1753489059.947,5.504587,-1.26e-09,bad
1753489060.147,5.504587,-1.26e-09,bad
1753489060.448,5.504587,-1.26e-09,bad
1753489060.648,5.504587,-1.26e-09,bad
1753489060.849,5.504587,-1.26e-09,bad
1753489061.050,5.504587,-1.26e-09,bad
1753489061.351,5.504587,-1.26e-09,bad
1753489061.551,5.504587,-1.26e-09,bad
1753489061.752,5.504587,-1.26e-09,bad
1753489061.952,5.504587,-1.26e-09,bad
1753489062.153,5.504587,-1.26e-09,bad
1753489062.454,5.504587,-1.26e-09,bad
1753489062.654,5.504587,-1.26e-09,bad
1753489062.855,5.504587,-1.26e-09,bad
1753489063.055,5.504587,-1.26e-09,bad
1753489063.356,5.504587,-1.26e-09,bad
1753489063.557,5.504587,-1.26e-09,bad
1753489063.757,5.504587,-1.26e-09,bad
1753489063.958,5.504587,-1.26e-09,bad
1753489064.158,5.504587,-1.26e-09,bad
1753489064.459,5.504587,-1.26e-09,bad
1753489064.660,5.504587,-1.26e-09,bad
